"Euroset, Svyaznoi","Евросеть, Связной"
"Sberbank","Сбербанк"
"Elecsnet","Элекснет"
"Bank transfer","Банковский перевод"

"Enabled","Разрешено"
"Title","Название"
"Logotype","Логотип"
"Payment from Applicable Countries","Платежи из подходящих стран"
"Payment from Specific Countries","Платежи из конкретных стран"
"Payment URL","Платежный URL"
"Account number","Номер счета PayAnyWay"
"Code of data integrity verification","Код проверки целостности данных"
"Test mode","Режим тестирования"
"Use kassa.payanyway.ru","Использовать kassa.payanyway.ru"
"Login in PayAnyWay","Логин в PayAnyWay"
"Password in PayAnyWay","Пароль в PayAnyWay"
"Account Settings","Настройки учетной записи"

"Place Order","Перейти к оплате"

"Payment has been completed.","Оплата завершена."
"The order has been canceled.","Заказ был отменен."
"The customer was redirected to Payanyway.","The customer was redirected to Payanyway."
"Payanyway Transaction ID: %s","Payanyway Transaction ID: %s"
"Payment has not been processed yet.","Payment has not been processed yet."
"You will be redirected to the payment system page when you place an order.","Вы будете перенаправлены на страницу платежной системы после подтверждения заказа."
"Invoice will be created after you place an order.","После подтверждения заказа будет создано платежное поручение."
"Redirecting...","Перенаправление..."
"Click <a %s>here</a> if nothing has happened","Нажмите на <a %s>ссылку</a>, если ничего не произошло"
"Phone number","Номер телефона"
"Sender ZIP","Индекс отправителя"
"Sender region","Регион (или город федерального значения) отправителя"
"Sender address","Адрес отправителя"
"Sender name","Имя отправителя"
"Payment system","Платежная система"
"Invoice was created","Создано платежное поручение"
"Error occured during creating invoice","В процессе создания платежного поручения возникла ошибка"
"Total amount:  %s","Сумма к оплате:  %s"

"Internet-bank login","Логин в интернет-банке"
"Payment purpose","Назначение платежа"
"Phone number formatted as 10 digits, w/o +7 or 8","Номер телефона в формате: 10 цифр, без +7 или 8"
"Comment","Комментарий"

"Canceled by payment system.","Отменено платежной системой."